company,year,unadjusted,adjusted,target
Google,2019,14.1488,7.6618,
Google,2020,13.6909,6.6824,
Google,2021,15.2733,8.0666,8.0666
Google,2022,17.4536,8.9943,6.6547
Google,2023,20.1263,10.3758,5.2428
Google,2024,23.4093,11.5472,3.8309
Amazon,2019,,11.26,11.26
Amazon,2020,,14.89,10.72380952
Amazon,2021,,16.18,10.18761905
Amazon,2022,25.788034,16.08,9.651428571
Amazon,2023,29.89,16.98,9.115238095
Amazon,2024,32.89,17.93,8.579047619
Amazon,2025,,,8.042857143
Amazon,2026,,,7.506666667
Amazon,2027,,,6.97047619
Amazon,2028,,,6.434285714
Amazon,2029,,,5.898095238
Amazon,2030,,,5.361904762
Amazon,2031,,,4.825714286
Amazon,2032,,,4.28952381
Amazon,2033,,,3.753333333
Amazon,2034,,,3.217142857
Amazon,2035,,,2.680952381
Amazon,2036,,,2.144761905
Amazon,2037,,,1.608571429
Amazon,2038,,,1.072380952
Amazon,2039,,,0.5361904762
Amazon,2040,,,0
Microsoft,2020,16.242672,12.044539,12.05357143
Microsoft,2021,18.710572,12.80443,11.5
Microsoft,2022,22.436663,12.594464,10.94642857
Microsoft,2023,24.619363,15.132117,10.39285714
Microsoft,2024,25.238878,14.858624,9.839285714
Microsoft,2025,,,9.285714286
Microsoft,2026,,,8.732142857
Microsoft,2027,,,8.178571429
Microsoft,2028,,,7.625
Microsoft,2029,,,7.071428571
Microsoft,2030,,,6.517857143